topology,replication,seed,alpha,final_alignment,mean_alignment
WS,40,1942380,0.7,0.12573655609851248,0.252756749331497
WS,40,1942380,0.9,0.09878537807954396,0.22947391901441866
WS,41,1942381,0.3,0.25301349309898274,0.3297564424426235
WS,41,1942381,0.5,0.22637882595214778,0.30994802112938913
WS,41,1942381,0.7,0.1307138275478687,0.2316299980458742
WS,41,1942381,0.9,0.09625503785680192,0.20204251603142495
WS,42,1942382,0.3,0.7714795972527729,0.8225099058537951
WS,42,1942382,0.5,0.5888432967910088,0.6620560661673486
WS,42,1942382,0.7,0.3357602223699201,0.443594642919935
WS,42,1942382,0.9,0.27535211938179754,0.3923667129212993
WS,43,1942383,0.3,0.3552125673222496,0.4367482639939522
WS,43,1942383,0.5,0.2618165286732802,0.36955302840663873
WS,43,1942383,0.7,0.15661255290589615,0.2936045184142174
WS,43,1942383,0.9,0.11813158005775494,0.2659122836371327
WS,44,1942384,0.3,0.20836376513978397,0.3023246896365765
WS,44,1942384,0.5,0.1560641019025653,0.24986636379047789
WS,44,1942384,0.7,0.07541348346939061,0.17498680495614405
WS,44,1942384,0.9,0.04713418824733983,0.13385214684229574
WS,45,1942385,0.3,0.3400524546638877,0.4285799223362702
WS,45,1942385,0.5,0.30936443979368244,0.4081530470007926
WS,45,1942385,0.7,0.20453903864868125,0.31098987296967734
WS,45,1942385,0.9,0.1356544882463909,0.25368853462033275
WS,46,1942386,0.3,0.6408889099890264,0.723310106447653
WS,46,1942386,0.5,0.6429298081846563,0.7099728851516838
WS,46,1942386,0.7,0.41017135332277443,0.49024962949761186
WS,46,1942386,0.9,0.35105715195136045,0.4434533400694256
WS,47,1942387,0.3,0.02926162862609767,0.21918960150688194
WS,47,1942387,0.5,0.020727745481543,0.2006464791992899
WS,47,1942387,0.7,0.016469722380980795,0.2169361527441731
WS,47,1942387,0.9,0.01876484310707499,0.2252399316632195
WS,48,1942388,0.3,0.39235222505525125,0.49192164680519324
WS,48,1942388,0.5,0.2640772684783508,0.37014126262849406
WS,48,1942388,0.7,0.14342912401648442,0.2620462598428829
WS,48,1942388,0.9,0.10657727550617908,0.2301983558518339
WS,49,1942389,0.3,0.7029982302377589,0.658527681500792
WS,49,1942389,0.5,0.6926184163931137,0.6434784536601464
WS,49,1942389,0.7,0.4375224287273898,0.45055157036804244
WS,49,1942389,0.9,0.34664108845831115,0.3814496624977859
BA,0,1942340,0.3,0.14256340799936915,0.2801229639687523
BA,0,1942340,0.5,0.0801409854835435,0.23621544728411062
BA,0,1942340,0.7,0.05000815133074429,0.21408675370229485
BA,0,1942340,0.9,0.04212477270636036,0.20892259083077425
BA,1,1942341,0.3,0.18738607201432048,0.32431094323808995
BA,1,1942341,0.5,0.14262795929532973,0.28164182803701604
BA,1,1942341,0.7,0.10663111483458736,0.24544100518921744
BA,1,1942341,0.9,0.08126775347032161,0.22161280430862101
BA,2,1942342,0.3,0.24483058533315383,0.3516048661397494
BA,2,1942342,0.5,0.1732209516314005,0.30308791110794675
BA,2,1942342,0.7,0.07911000890152202,0.2252941477469726
BA,2,1942342,0.9,0.03749399402178264,0.18884232115781358
BA,3,1942343,0.3,0.1656195362299765,0.22934706753411252
BA,3,1942343,0.5,0.1275094296418322,0.19409472431800015
BA,3,1942343,0.7,0.0785068329437591,0.15152055814374651
BA,3,1942343,0.9,0.06610182411240226,0.14053735184326616
BA,4,1942344,0.3,0.6981667027085842,0.7171281622434456
BA,4,1942344,0.5,0.5207493819315852,0.5405899310276627
BA,4,1942344,0.7,0.2333948629903608,0.28121455818191304
BA,4,1942344,0.9,0.1842588035255127,0.2401257364209302
BA,5,1942345,0.3,0.35752008383699496,0.509788846191215
BA,5,1942345,0.5,0.2674994028551275,0.4062785992032123
BA,5,1942345,0.7,0.13667845373451232,0.2902143633715399
BA,5,1942345,0.9,0.03931684474397739,0.20771515755778167
BA,6,1942346,0.3,0.49114920471977264,0.5420566866979937
BA,6,1942346,0.5,0.32899045449101594,0.39644075186352773
BA,6,1942346,0.7,0.1461310370103747,0.2391713081120781
BA,6,1942346,0.9,0.09201027345495083,0.19009498597376645
BA,7,1942347,0.3,0.35988838737416234,0.42649745758566193
BA,7,1942347,0.5,0.28974611957842344,0.3618458223749166
BA,7,1942347,0.7,0.20346906845008955,0.28119316008073253
BA,7,1942347,0.9,0.16957903478090014,0.253311446963463
BA,8,1942348,0.3,0.31895494454244155,0.40739800544936344
BA,8,1942348,0.5,0.258324176048837,0.3525043217792267
BA,8,1942348,0.7,0.13879852683247706,0.24265382787622053
BA,8,1942348,0.9,0.12120530086057493,0.22820724920090832
BA,9,1942349,0.3,0.29524517708823395,0.35261410975274526
BA,9,1942349,0.5,0.26277941019170864,0.3235503736239367
BA,9,1942349,0.7,0.11686815636413897,0.19073301361487388
BA,9,1942349,0.9,0.09200651442192702,0.16843484802443592
BA,10,1942350,0.3,0.20352324076521236,0.32706635723311567
BA,10,1942350,0.5,0.17700993839323068,0.30958953314037413
BA,10,1942350,0.7,0.15654181854478633,0.2829636434413553
BA,10,1942350,0.9,0.14691387385951868,0.2698759224047708
BA,11,1942351,0.3,0.24012921550485863,0.32877963196649035
BA,11,1942351,0.5,0.17293042324842123,0.27214452392437366
BA,11,1942351,0.7,0.0699954030872996,0.17554896923606483
BA,11,1942351,0.9,0.039286865367997165,0.1442426884949756
BA,12,1942352,0.3,0.26730145903363933,0.4378487404315296
