topology,beta_level,beta_a,beta_b,replication,seed,alpha,final_alignment,mean_alignment
ER,Low heterogeneity,5.0,5.0,23,1942363,0.7,0.0790063507987093,0.2727547368981486
ER,Low heterogeneity,5.0,5.0,23,1942363,0.9,0.04139190397939749,0.24456548185987145
ER,Low heterogeneity,5.0,5.0,23,1942363,1.0,0.04191448470007249,0.24432985353697992
ER,Low heterogeneity,5.0,5.0,24,1942364,0.0,0.5864208474171263,0.6722002016022427
ER,Low heterogeneity,5.0,5.0,24,1942364,0.3,0.5176539694470836,0.6089504619156965
ER,Low heterogeneity,5.0,5.0,24,1942364,0.5,0.3821760535055454,0.4760705831605931
ER,Low heterogeneity,5.0,5.0,24,1942364,0.7,0.21213930452783197,0.32389551449274273
ER,Low heterogeneity,5.0,5.0,24,1942364,0.9,0.13230699111640248,0.25665226133631674
ER,Low heterogeneity,5.0,5.0,24,1942364,1.0,0.13065829909950968,0.2553506097717187
ER,Low heterogeneity,5.0,5.0,25,1942365,0.0,0.4407490948528692,0.5105264571049558
ER,Low heterogeneity,5.0,5.0,25,1942365,0.3,0.4191736580433919,0.4954262549553833
ER,Low heterogeneity,5.0,5.0,25,1942365,0.5,0.3133235686430997,0.40525234662646265
ER,Low heterogeneity,5.0,5.0,25,1942365,0.7,0.27033972784407095,0.3717091799790808
ER,Low heterogeneity,5.0,5.0,25,1942365,0.9,0.20264879041953024,0.3144664074058145
ER,Low heterogeneity,5.0,5.0,25,1942365,1.0,0.18007804722688686,0.2956333845607778
ER,Low heterogeneity,5.0,5.0,26,1942366,0.0,0.45673699618469593,0.4982443038959437
ER,Low heterogeneity,5.0,5.0,26,1942366,0.3,0.3983262989973905,0.4437674463979783
ER,Low heterogeneity,5.0,5.0,26,1942366,0.5,0.3145802723981864,0.36068903538922087
ER,Low heterogeneity,5.0,5.0,26,1942366,0.7,0.16410702022765886,0.2187112470106581
ER,Low heterogeneity,5.0,5.0,26,1942366,0.9,0.11386136684091833,0.17155393180325265
ER,Low heterogeneity,5.0,5.0,26,1942366,1.0,0.1114329176076064,0.16855048636333278
ER,Low heterogeneity,5.0,5.0,27,1942367,0.0,0.20293560012213105,0.27987672770584426
ER,Low heterogeneity,5.0,5.0,27,1942367,0.3,0.16894486912458376,0.2498320480311546
ER,Low heterogeneity,5.0,5.0,27,1942367,0.5,0.13127477457928166,0.21742404742029228
ER,Low heterogeneity,5.0,5.0,27,1942367,0.7,0.08456813208021316,0.17649276147944934
ER,Low heterogeneity,5.0,5.0,27,1942367,0.9,0.06340250825893029,0.1575334810537782
ER,Low heterogeneity,5.0,5.0,27,1942367,1.0,0.0590956772641379,0.15374672433527245
ER,Low heterogeneity,5.0,5.0,28,1942368,0.0,0.11551543389589998,0.2772016322557791
ER,Low heterogeneity,5.0,5.0,28,1942368,0.3,0.1059844901067855,0.2684703649518799
ER,Low heterogeneity,5.0,5.0,28,1942368,0.5,0.07714168757710387,0.2523559642847841
ER,Low heterogeneity,5.0,5.0,28,1942368,0.7,0.04569420391538444,0.23478991825705833
ER,Low heterogeneity,5.0,5.0,28,1942368,0.9,0.032978764274922426,0.23005542697136208
ER,Low heterogeneity,5.0,5.0,28,1942368,1.0,0.03134655133699036,0.23122678722601858
ER,Low heterogeneity,5.0,5.0,29,1942369,0.0,0.3251049716839998,0.44131203243496475
ER,Low heterogeneity,5.0,5.0,29,1942369,0.3,0.2767029549888473,0.3923932693886475
ER,Low heterogeneity,5.0,5.0,29,1942369,0.5,0.2434645992509549,0.3609028433627502
ER,Low heterogeneity,5.0,5.0,29,1942369,0.7,0.1381399913246655,0.2665591780195155
ER,Low heterogeneity,5.0,5.0,29,1942369,0.9,0.12321885515951127,0.2511609466490673
ER,Low heterogeneity,5.0,5.0,29,1942369,1.0,0.14082518898060598,0.26369707925027847
ER,Low heterogeneity,5.0,5.0,30,1942370,0.0,0.29654189902590117,0.4809938751600942
ER,Low heterogeneity,5.0,5.0,30,1942370,0.3,0.25426836540425896,0.4342560813350258
ER,Low heterogeneity,5.0,5.0,30,1942370,0.5,0.2242655063848774,0.3985918316733487
ER,Low heterogeneity,5.0,5.0,30,1942370,0.7,0.1963399288833352,0.3521184169512416
ER,Low heterogeneity,5.0,5.0,30,1942370,0.9,0.17873599983857733,0.33259494469332557
ER,Low heterogeneity,5.0,5.0,30,1942370,1.0,0.17862912914972504,0.3325544753162917
ER,Low heterogeneity,5.0,5.0,31,1942371,0.0,0.19970784547830361,0.3559532338618501
ER,Low heterogeneity,5.0,5.0,31,1942371,0.3,0.18976262087283724,0.34073863923331654
ER,Low heterogeneity,5.0,5.0,31,1942371,0.5,0.1533228007033914,0.3160784628787897
ER,Low heterogeneity,5.0,5.0,31,1942371,0.7,0.12460068986014182,0.3350721564224098
ER,Low heterogeneity,5.0,5.0,31,1942371,0.9,0.11663243976109733,0.3530473907654986
ER,Low heterogeneity,5.0,5.0,31,1942371,1.0,0.12403591886790065,0.367519713701799
ER,Low heterogeneity,5.0,5.0,32,1942372,0.0,0.42189733621352327,0.5271140619988687
ER,Low heterogeneity,5.0,5.0,32,1942372,0.3,0.3292410495390323,0.4471284748267831
ER,Low heterogeneity,5.0,5.0,32,1942372,0.5,0.17677426768562338,0.3279349572696533
ER,Low heterogeneity,5.0,5.0,32,1942372,0.7,0.07176543111628268,0.25518843636701594
ER,Low heterogeneity,5.0,5.0,32,1942372,0.9,0.04364131034191481,0.2358753152374477
ER,Low heterogeneity,5.0,5.0,32,1942372,1.0,0.039229068353523924,0.23305945786882262
ER,Low heterogeneity,5.0,5.0,33,1942373,0.0,0.5968057543670539,0.6865317599646183
ER,Low heterogeneity,5.0,5.0,33,1942373,0.3,0.5560154377292393,0.6466412721327279
ER,Low heterogeneity,5.0,5.0,33,1942373,0.5,0.3068644188279827,0.41910214858040457
ER,Low heterogeneity,5.0,5.0,33,1942373,0.7,0.18395001823252552,0.3061971087293642
ER,Low heterogeneity,5.0,5.0,33,1942373,0.9,0.1463705739239237,0.2718877587075975
ER,Low heterogeneity,5.0,5.0,33,1942373,1.0,0.13739762415393383,0.26405642428709925
ER,Low heterogeneity,5.0,5.0,34,1942374,0.0,0.43071364824145153,0.48221592653949436
ER,Low heterogeneity,5.0,5.0,34,1942374,0.3,0.37923853550589376,0.4383134606330159
ER,Low heterogeneity,5.0,5.0,34,1942374,0.5,0.3060693099109562,0.38362523289400163
ER,Low heterogeneity,5.0,5.0,34,1942374,0.7,0.17732037236707518,0.2707201406823554
ER,Low heterogeneity,5.0,5.0,34,1942374,0.9,0.16384312273884657,0.25954933297124627
ER,Low heterogeneity,5.0,5.0,34,1942374,1.0,0.16921157145762708,0.2637461029803242
ER,Low heterogeneity,5.0,5.0,35,1942375,0.0,0.4243517724007916,0.5311112628936363
ER,Low heterogeneity,5.0,5.0,35,1942375,0.3,0.395407282526335,0.5049649274550706
ER,Low heterogeneity,5.0,5.0,35,1942375,0.5,0.37141395496282664,0.49280727543288144
ER,Low heterogeneity,5.0,5.0,35,1942375,0.7,0.1886637715829213,0.3615490682115285
ER,Low heterogeneity,5.0,5.0,35,1942375,0.9,0.18776846306511372,0.3610496307822149
ER,Low heterogeneity,5.0,5.0,35,1942375,1.0,0.21356305842573417,0.38014427110284266
ER,Low heterogeneity,5.0,5.0,36,1942376,0.0,0.26511253349380903,0.4370121180339722
ER,Low heterogeneity,5.0,5.0,36,1942376,0.3,0.25167069892647953,0.42369233870750816
ER,Low heterogeneity,5.0,5.0,36,1942376,0.5,0.18948110535514381,0.35218490870426794
